index,Resistance,Support,Call_chng,Put_chng,diff,time,Action
KOTAKBANK.NS,2000.0,1800.0,-683.0,311.0,994.0,2021-03-03 14:24:00,Buy
HDFC.NS,2700.0,2600.0,-369.0,31.0,400.0,2021-03-03 14:24:00,Buy
HDFCBANK.NS,1600.0,1560.0,-612.0,511.0,1123.0,2021-03-03 14:24:00,Buy
HINDUNILVR.NS,2200.0,2100.0,-261.0,-166.0,95.0,2021-03-03 14:24:00,Buy
TCS.NS,3100.0,3000.0,-545.0,72.0,617.0,2021-03-03 14:24:00,Buy
RELIANCE.NS,2200.0,2100.0,-52.0,10.0,62.0,2021-03-03 14:24:00,Buy
TATACHEM.NS,800.0,720.0,-64.0,269.0,333.0,2021-03-03 14:24:00,Buy
BHARTIARTL.NS,600.0,500.0,-94.0,510.0,604.0,2021-03-03 14:24:00,Buy
JSWSTEEL.NS,450.0,400.0,176.0,193.0,17.0,2021-03-03 14:24:00,Buy
AXISBANK.NS,800.0,700.0,-756.0,628.0,1384.0,2021-03-03 14:24:00,Buy
TITAN.NS,1500.0,1400.0,-99.0,40.0,139.0,2021-03-03 14:24:00,Buy
EICHERMOT.NS,2700.0,2500.0,170.0,151.0,-19.0,2021-03-03 14:24:00,Sell
SIEMENS.NS,2000.0,1800.0,6.0,8.0,2.0,2021-03-03 14:24:00,Buy
INDIGO.NS,1800.0,1700.0,140.0,70.0,-70.0,2021-03-03 14:24:00,Sell
HDFCAMC.NS,3200.0,3100.0,195.0,34.0,-161.0,2021-03-03 14:24:00,Sell
BERGEPAINT.NS,750.0,700.0,21.0,-1.0,-22.0,2021-03-03 14:24:00,Sell
ADANIPORTS.NS,750.0,700.0,-301.0,383.0,684.0,2021-03-03 14:24:00,Buy
ICICIPRULI.NS,500.0,450.0,74.0,-6.0,-80.0,2021-03-03 14:24:00,Sell
HDFCLIFE.NS,750.0,700.0,202.0,111.0,-91.0,2021-03-03 14:24:00,Sell
DRREDDY.NS,4600.0,4500.0,755.0,164.0,-591.0,2021-03-03 14:24:00,Sell
GODREJCP.NS,700.0,650.0,137.0,47.0,-90.0,2021-03-03 14:24:00,Sell
TECHM.NS,1000.0,940.0,-8.0,32.0,40.0,2021-03-03 14:24:00,Buy
BAJAJ-AUTO.NS,4000.0,3600.0,266.0,61.0,-205.0,2021-03-03 14:24:00,Sell
SBILIFE.NS,920.0,850.0,-120.0,76.0,196.0,2021-03-03 14:24:00,Buy
BRITANNIA.NS,3500.0,3300.0,-31.0,-42.0,-11.0,2021-03-03 14:24:00,Sell
BAJAJFINSV.NS,10500.0,10000.0,-44.0,75.0,119.0,2021-03-03 14:24:00,Buy
DABUR.NS,520.0,500.0,-32.0,40.0,72.0,2021-03-03 14:24:00,Buy
DIVISLAB.NS,3600.0,3300.0,-59.0,-12.0,47.0,2021-03-03 14:24:00,Buy
IBULHSGFIN.NS,250.0,220.0,82.0,83.0,1.0,2021-03-03 14:24:00,Buy
