index,Resistance,Support,Call_chng,Put_chng,diff,time,Action
INFY.NS,1400.0,1300.0,-470.0,737.0,1207.0,2021-03-03 13:48:00,Buy
JUBLFOOD.NS,3200.0,3000.0,-17.0,77.0,94.0,2021-03-03 13:48:00,Buy
BATAINDIA.NS,1600.0,1500.0,-13.0,-3.0,10.0,2021-03-03 13:48:00,Buy
BANKBARODA.NS,90.0,85.0,-212.0,34.0,246.0,2021-03-03 14:24:00,Buy
VEDL.NS,220.0,210.0,47.0,261.0,214.0,2021-03-03 14:24:00,Buy
AUROPHARMA.NS,900.0,840.0,159.0,91.0,-68.0,2021-03-03 14:24:00,Sell
UBL.NS,1300.0,1200.0,-2.0,2.0,4.0,2021-03-03 14:24:00,Buy
INDUSINDBK.NS,1100.0,1000.0,10.0,130.0,120.0,2021-03-03 14:24:00,Buy
MUTHOOTFIN.NS,1400.0,1200.0,67.0,56.0,-11.0,2021-03-03 14:24:00,Sell
UPL.NS,620.0,550.0,-80.0,190.0,270.0,2021-03-03 14:24:00,Buy
BANDHANBNK.NS,400.0,300.0,629.0,126.0,-503.0,2021-03-03 14:24:00,Sell
IGL.NS,520.0,500.0,71.0,40.0,-31.0,2021-03-03 14:24:00,Sell
CADILAHC.NS,450.0,430.0,141.0,34.0,-107.0,2021-03-03 14:24:00,Sell
HAVELLS.NS,1200.0,1100.0,63.0,71.0,8.0,2021-03-03 14:24:00,Buy
TATASTEEL.NS,800.0,750.0,-252.0,1621.0,1873.0,2021-03-03 14:24:00,Buy
GRASIM.NS,1340.0,1300.0,28.0,191.0,163.0,2021-03-03 14:24:00,Buy
HEROMOTOCO.NS,3500.0,3200.0,293.0,77.0,-216.0,2021-03-03 14:24:00,Sell
BIOCON.NS,420.0,400.0,203.0,68.0,-135.0,2021-03-03 14:24:00,Sell
LUPIN.NS,1100.0,1040.0,126.0,34.0,-92.0,2021-03-03 14:24:00,Sell
TATAMOTORS.NS,360.0,350.0,-713.0,857.0,1570.0,2021-03-03 14:24:00,Buy
GLENMARK.NS,500.0,450.0,64.0,-2.0,-66.0,2021-03-03 14:24:00,Sell
ACC.NS,1900.0,1700.0,-15.0,55.0,70.0,2021-03-03 14:24:00,Buy
DLF.NS,330.0,300.0,787.0,517.0,-270.0,2021-03-03 14:24:00,Sell
PVR.NS,1500.0,1300.0,95.0,60.0,-35.0,2021-03-03 14:24:00,Sell
RBLBANK.NS,250.0,230.0,-143.0,91.0,234.0,2021-03-03 14:24:00,Buy
ESCORTS.NS,1400.0,1300.0,-140.0,34.0,174.0,2021-03-03 14:24:00,Buy
AMARAJABAT.NS,940.0,900.0,145.0,5.0,-140.0,2021-03-03 14:24:00,Sell
FEDERALBNK.NS,90.0,85.0,-18.0,76.0,94.0,2021-03-03 14:24:00,Buy
BHARATFORG.NS,650.0,600.0,117.0,26.0,-91.0,2021-03-03 14:24:00,Sell
HINDALCO.NS,360.0,340.0,307.0,237.0,-70.0,2021-03-03 14:24:00,Sell
EXIDEIND.NS,210.0,200.0,104.0,31.0,-73.0,2021-03-03 14:24:00,Sell
LICHSGFIN.NS,500.0,420.0,-200.0,81.0,281.0,2021-03-03 14:24:00,Buy
ZEEL.NS,230.0,200.0,488.0,281.0,-207.0,2021-03-03 14:24:00,Sell
CHOLAFIN.NS,600.0,500.0,-16.0,27.0,43.0,2021-03-03 14:24:00,Buy
ASHOKLEY.NS,135.0,125.0,251.0,139.0,-112.0,2021-03-03 14:24:00,Sell
SRTRANSFIN.NS,1400.0,1300.0,36.0,44.0,8.0,2021-03-03 14:24:00,Buy
ADANIENT.NS,1000.0,850.0,369.0,255.0,-114.0,2021-03-03 14:24:00,Sell
VOLTAS.NS,1100.0,1050.0,114.0,68.0,-46.0,2021-03-03 14:24:00,Sell
SUNTV.NS,550.0,450.0,165.0,35.0,-130.0,2021-03-03 14:24:00,Sell
CIPLA.NS,820.0,800.0,313.0,139.0,-174.0,2021-03-03 14:24:00,Sell
SUNPHARMA.NS,620.0,600.0,-21.0,149.0,170.0,2021-03-03 14:24:00,Buy
MARICO.NS,420.0,400.0,88.0,22.0,-66.0,2021-03-03 14:24:00,Sell
LT.NS,1600.0,1400.0,886.0,140.0,-746.0,2021-03-03 14:24:00,Sell
HCLTECH.NS,1000.0,910.0,-167.0,163.0,330.0,2021-03-03 14:24:00,Buy
MARUTI.NS,7500.0,7000.0,1568.0,573.0,-995.0,2021-03-03 14:24:00,Sell
BAJFINANCE.NS,6000.0,5000.0,-207.0,435.0,642.0,2021-03-03 14:24:00,Buy
ASIANPAINT.NS,2500.0,2300.0,90.0,164.0,74.0,2021-03-03 14:24:00,Buy
SBIN.NS,430.0,400.0,-1498.0,1047.0,2545.0,2021-03-03 14:24:00,Buy
ICICIBANK.NS,650.0,600.0,-1250.0,299.0,1549.0,2021-03-03 14:24:00,Buy
WIPRO.NS,450.0,420.0,53.0,112.0,59.0,2021-03-03 14:24:00,Buy
ITC.NS,220.0,200.0,693.0,372.0,-321.0,2021-03-03 14:24:00,Sell
