Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
312,JYOTHYLAB,JYOTHYLAB.NS,Jyothy Labs Limited,"338,566",0,0,3877377
313,DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Limited,"335,588",0,0,207617
314,TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Limited,"335,548",0,0,414977
315,MIDHANI,MIDHANI.NS,Mishra Dhatu Nigam Limited,"335,058",0,0,630529
316,FDC,FDC.NS,FDC Limited,"333,312",0,0,1253889
317,CENTURYTEX,CENTURYTEX.NS,Century Textiles & Industries Limited,"330,731",0,1,160001
318,INDIACEM,INDIACEM.NS,The India Cements Limited,"328,026",0,0,387841
319,HEIDELBERG,HEIDELBERG.NS,HeidelbergCement India Limited,"321,451",0,0,592897
320,CEATLTD,CEATLTD.NS,CEAT Limited,"320,749",0,0,3905025
321,BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited,"319,611",0,0,122881
322,GEPIL,GEPIL.NS,GE Power India Limited,"319,330",0,1,2012673
323,POWERINDIA,POWERINDIA.NS,ABB Power Products and Systems India Limited,"317,735",0,0,4724993
324,KRBL,KRBL.NS,KRBL Limited,"317,306",0,0,2707713
325,QUESS,QUESS.NS,Quess Corp Limited,"314,419",0,0,4532225
326,FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,"314,171",0,1,3520001
327,FINCABLES,FINCABLES.NS,Finolex Cables Limited,"311,614",0,0,265729
328,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,"310,008",0,0,6599681
329,SUNTECK,SUNTECK.NS,Sunteck Realty Limited,"307,397",0,1,4516097
330,BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited,"305,384",0,0,3848705
331,GESHIP,GESHIP.NS,The Great Eastern Shipping Company Limited,"302,457",0,0,3526657
332,SUNCLAYLTD,SUNCLAYLTD.NS,Sundaram Clayton Limited,"301,913",0,0,7426049
333,CERA,CERA.NS,Cera Sanitaryware Limited,"300,624",0,0,3849985
334,CGCL,CGCL.NS,Capri Global Capital Limited,"299,130",0,0,5204225
335,DCBBANK,DCBBANK.NS,DCB Bank Limited,"294,084",0,0,3513601
336,NBCC,NBCC.NS,NBCC (India) Limited,"293,400",0,1,8042241
337,GPPL,GPPL.NS,Gujarat Pipavav Port Limited,"291,273",0,0,5051137
338,DBL,DBL.NS,Dilip Buildcon Limited,"288,653",0,0,4630017
339,STAR,STAR.NS,Strides Pharma Science Limited,"288,494",0,0,1887745
340,MASFIN,MASFIN.NS,MAS Financial Services Limited,"286,593",0,0,50945
341,KALPATPOWR,KALPATPOWR.NS,Kalpataru Power Transmission Limited,"282,588",0,0,464385
342,STARCEMENT,STARCEMENT.NS,Star Cement Limited,"281,070",0,0,5399297
343,OMAXE,OMAXE.NS,Omaxe Limited,"279,289",0,0,3802369
344,TEAMLEASE,TEAMLEASE.NS,Teamlease Services Limited,"278,182",0,0,3255297
345,KNRCON,KNRCON.NS,KNR Constructions Limited,"276,313",0,0,3912449
346,PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Limited,"272,685",0,0,4840449
347,INOXLEISUR,INOXLEISUR.NS,INOX Leisure Limited,"270,207",0,1,3384577
348,TV18BRDCST,TV18BRDCST.NS,TV18 Broadcast Limited,"267,440",0,0,3637249
349,REDINGTON,REDINGTON.NS,Redington (India) Limited,"266,910",0,0,3649281
350,RVNL,RVNL.NS,Rail Vikas Nigam Limited,"266,883",0,0,2445313
351,BRIGADE,BRIGADE.NS,Brigade Enterprises Limited,"265,925",0,0,3887105
352,INDIANB,INDIANB.NS,Indian Bank,"262,393",0,0,3663105
353,THYROCARE,THYROCARE.NS,Thyrocare Technologies Limited,"262,359",0,0,4360193
354,TECHNOE,TECHNOE.NS,Techno Electric & Engineering Company Limited,"261,800",0,0,1649921
355,MAHINDCIE,MAHINDCIE.NS,Mahindra CIE Automotive Limited,"260,570",0,0,3823873
356,VMART,VMART.NS,V-Mart Retail Limited,"258,053",0,0,7496705
357,GULFOILLUB,GULFOILLUB.NS,Gulf Oil Lubricants India Limited,"257,910",0,0,1124097
358,SUDARSCHEM,SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,"257,733",0,1,851713
360,AFFLE,AFFLE.NS,Affle (India) Limited,"256,353",0,0,2903809
361,SUVENPHAR,SUVENPHAR.NS,Suven Pharmaceuticals Limited,"255,901",0,0,4593921
362,SPARC,SPARC.NS,Sun Pharma Advanced Research Company Limited,"252,724",0,0,3785729
363,CYIENT,CYIENT.NS,Cyient Limited,"252,164",0,0,1471489
364,GRAPHITE,GRAPHITE.NS,Graphite India Limited,"248,615",0,1,151553
365,VAIBHAVGBL,VAIBHAVGBL.NS,Vaibhav Global Limited,"247,807",0,0,2909185
366,CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited,"246,501",0,0,3406081
367,SWANENERGY,SWANENERGY.NS,Swan Energy Limited,"246,211",0,0,6936321
368,EIDPARRY,EIDPARRY.NS,EID Parry India Limited,"246,112",0,0,234497
369,LAXMIMACH,LAXMIMACH.NS,Lakshmi Machine Works Limited,"245,821",0,0,506625
370,ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,"245,430",0,0,1148673
371,MOIL,MOIL.NS,MOIL Limited,"243,142",0,0,5332481
372,PNCINFRA,PNCINFRA.NS,PNC Infratech Limited,"241,147",0,0,2402561
373,KEI,KEI.NS,KEI Industries Limited,"240,185",0,1,3407361
374,LUXIND,LUXIND.NS,Lux Industries Limited,"238,628",0,0,2893057
375,HATHWAY,HATHWAY.NS,Hathway Cable & Datacom Limited,"238,079",0,0,4647425
376,FLFL,FLFL.NS,Future Lifestyle Fashions Limited,"237,509",0,0,7872513
377,IIFL,IIFL.NS,IIFL Finance Limited,"237,178",0,0,3023105
378,IDFC,IDFC.NS,IDFC Limited,"237,059",0,0,3060993
379,CCL,CCL.NS,CCL Products (India) Limited,"235,992",0,0,2931713
380,GARFIBRES,GARFIBRES.NS,Garware Technical Fibres Limited,"235,068",0,0,281601
381,MAHSCOOTER,MAHSCOOTER.NS,Maharashtra Scooters Limited,"234,337",0,0,533761
382,KPRMILL,KPRMILL.NS,K.P.R. Mill Limited,"232,681",0,0,3817473
383,JKLAKSHMI,JKLAKSHMI.NS,JK Lakshmi Cement Limited,"230,633",0,0,3453697
384,TASTYBITE,TASTYBITE.NS,Tasty Bite Eatables Limited,"230,261",0,0,5143553
385,INDOSTAR,INDOSTAR.NS,IndoStar Capital Finance Limited,"229,100",0,0,790529
386,BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited,"228,910",0,0,87297
387,INFIBEAM,INFIBEAM.NS,Infibeam Avenues Limited,"225,988",0,0,4179201
388,CDSL,CDSL.NS,Central Depository Services (India) Limited,"224,048",0,0,5420545
389,BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited,"219,218",0,0,981505
390,WELSPUNIND,WELSPUNIND.NS,Welspun India Limited,"217,021",0,0,2880769
391,RESPONIND,RESPONIND.NS,Responsive Industries Limited,"216,600",0,0,5202689
392,TRIDENT,TRIDENT.NS,Trident Limited,"216,578",0,0,2479361
393,KSCL,KSCL.NS,Kaveri Seed Company Limited,"215,839",0,0,3832833
394,CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited,"213,615",0,0,999937
395,VAKRANGEE,VAKRANGEE.NS,Vakrangee Limited,"210,822",0,0,3415553
396,TCIEXP,TCIEXP.NS,TCI Express Limited,"209,651",0,0,4921089
397,ICRA,ICRA.NS,ICRA Limited,"206,990",0,0,3717889
398,POLYMED,POLYMED.NS,Poly Medicure Limited,"205,636",0,0,6583809
399,CSBBANK,CSBBANK.NS,CSB Bank Limited,"204,765",0,0,3831297
400,TCNSBRANDS,TCNSBRANDS.NS,TCNS Clothing Co. Limited,"201,986",0,0,1068033
401,SHILPAMED,SHILPAMED.NS,Shilpa Medicare Limited,"199,456",0,0,4544513
402,ZENSARTECH,ZENSARTECH.NS,Zensar Technologies Limited,"198,245",0,0,275457
403,HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Limited,"197,071",0,0,4592385
404,BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Limited,"195,409",0,0,4999937
405,INGERRAND,INGERRAND.NS,Ingersoll Rand (India) Limited,"194,964",0,0,408833
406,INDOCO,INDOCO.NS,Indoco Remedies Limited,"193,884",0,0,2989313
407,NETWORK18,NETWORK18.NS,Network18 Media & Investments Limited,"192,115",0,0,3612417
408,SEQUENT,SEQUENT.NS,Sequent Scientific Limited,"192,066",0,0,3659777
409,WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Limited,"191,184",0,1,1921537
410,JUSTDIAL,JUSTDIAL.NS,Just Dial Limited,"190,366",0,0,7670273
411,FSL,FSL.NS,Firstsource Solutions Limited,"190,327",0,0,3661825
412,TRITURBINE,TRITURBINE.NS,Triveni Turbine Limited,"189,134",0,0,6549505
413,BEML,BEML.NS,BEML Limited,"188,087",0,0,101121
414,RAIN,RAIN.NS,Rain Industries Limited,"187,849",0,0,3926273
415,IRB,IRB.NS,IRB Infrastructure Developers Limited,"187,147",0,0,3920129
416,HEG,HEG.NS,HEG Limited,"186,802",0,0,342017
417,MHRIL,MHRIL.NS,Mahindra Holidays & Resorts India Limited,"186,641",0,0,4437249
418,IBREALEST,IBREALEST.NS,Indiabulls Real Estate Limited,"185,730",0,0,3699201
419,MMTC,MMTC.NS,MMTC Limited,"184,500",0,0,4596993
420,GET&D,GET&D.NS,GE T&D India Limited,"184,097",0,0,4296449
421,UJJIVAN,UJJIVAN.NS,Ujjivan Financial Services Limited,"180,467",0,0,4369665
422,TATASTLBSL,TATASTLBSL.NS,Tata Steel Bsl Limited,"179,871",0,1,114433
423,FMGOETZE,FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.,"179,441",0,0,304641
424,GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"178,265",0,0,300545
425,ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Limited,"177,548",0,1,239873
426,DELTACORP,DELTACORP.NS,Delta Corp Limited,"177,058",0,0,3851265
427,SCI,SCI.NS,Shipping Corporation Of India Limited,"174,675",0,1,780289
428,LEMONTREE,LEMONTREE.NS,Lemon Tree Hotels Limited,"174,294",0,0,667137
429,SONATSOFTW,SONATSOFTW.NS,Sonata Software Limited,"172,672",0,0,1688577
430,VARROC,VARROC.NS,Varroc Engineering Limited,"172,087",0,0,987393
431,BSOFT,BSOFT.NS,BIRLASOFT LIMITED,"168,766",0,0,1790465
432,SHOPERSTOP,SHOPERSTOP.NS,Shoppers Stop Limited,"168,589",0,0,3024129
433,ESABINDIA,ESABINDIA.NS,Esab India Limited,"167,184",0,0,244481
434,VESUVIUS,VESUVIUS.NS,Vesuvius India Limited,"165,322",0,0,941057
436,GUJALKALI,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,"163,783",0,1,324353
437,LAOPALA,LAOPALA.NS,La Opala RG Limited,"163,781",0,0,3692289
438,MAHLOG,MAHLOG.NS,Mahindra Logistics Limited,"162,019",0,0,98561
439,WELCORP,WELCORP.NS,Welspun Corp Limited,"161,869",0,0,3026177
441,KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Limited,"161,428",0,1,470529
442,GREAVESCOT,GREAVESCOT.NS,Greaves Cotton Limited,"160,804",0,0,316161
443,JSWHL,JSWHL.NS,JSW Holdings Limited,"160,384",0,0,3041281
444,ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,"159,139",0,0,4617985
445,SUPRAJIT,SUPRAJIT.NS,Suprajit Engineering Limited,"157,496",0,0,2992385
446,SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Limited,"157,091",0,0,7995905
447,GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,"156,478",0,0,1401601
448,RCF,RCF.NS,Rashtriya Chemicals and Fertilizers Limited,"156,404",0,0,733697
449,DHANUKA,DHANUKA.NS,Dhanuka Agritech Limited,"154,725",0,0,6248705
450,PRSMJOHNSN,PRSMJOHNSN.NS,Prism Johnson Limited,"152,265",0,0,701185
451,NILKAMAL,NILKAMAL.NS,Nilkamal Limited,"148,882",0,0,619777
452,KSB,KSB.NS,Ksb Limited,"147,951",0,0,498945
453,NAVNETEDUL,NAVNETEDUL.NS,Navneet Education Limited,"147,736",0,0,610561
455,JINDALSAW,JINDALSAW.NS,Jindal Saw Limited,"146,447",0,0,774145
456,EQUITAS,EQUITAS.NS,Equitas Holdings Limited,"145,767",0,1,4314113
457,GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,"145,644",0,0,319233
458,DEN,DEN.NS,Den Networks Limited,"144,599",0,0,4536833
459,TCI,TCI.NS,Transport Corporation of India Limited,"144,472",0,0,2708481
460,RAYMOND,RAYMOND.NS,Raymond Limited,"144,194",0,0,731905
461,ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,"143,609",0,0,3456257
462,ORIENTREF,ORIENTREF.NS,Orient Refractories Limited,"140,743",0,0,7977729
463,FCONSUMER,FCONSUMER.NS,Future Consumer Limited,"140,237",0,0,7689729
464,VRLLOG,VRLLOG.NS,VRL Logistics Limited,"139,490",0,0,2226177
465,DBCORP,DBCORP.NS,D.B.Corp Limited,"139,258",0,0,4577537
466,BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,"135,863",0,0,86529
467,ECLERX,ECLERX.NS,eClerx Services Limited,"135,137",0,0,3885825
468,JAGRAN,JAGRAN.NS,Jagran Prakashan Limited,"135,016",0,0,3382017
469,BSE,BSE.NS,BSE Limited,"133,632",0,0,5013761
470,JKPAPER,JKPAPER.NS,JK Paper Limited,"132,791",0,0,3036161
471,MINDACORP,MINDACORP.NS,Minda Corporation Limited,"131,107",0,0,6629633
472,KTKBANK,KTKBANK.NS,The Karnataka Bank Limited,"130,720",0,1,2061825
473,MAHSEAMLES,MAHSEAMLES.NS,Maharashtra Seamless Limited,"129,711",0,0,534529
474,ACCELYA,ACCELYA.NS,Accelya Solutions India Limited,"127,321",0,0,1805569
475,SOBHA,SOBHA.NS,Sobha Limited,"126,951",0,0,3539457
476,KIRLOSENG,KIRLOSENG.NS,Kirloskar Oil Engines Limited,"125,669",0,0,5359617
477,SUPPETRO,SUPPETRO.NS,Supreme Petrochem Limited,"125,549",0,0,860161
478,SWSOLAR,SWSOLAR.NS,Sterling And Wilson Solar Limited,"123,477",0,1,3197185
479,HSCL,HSCL.NS,Himadri Speciality Chemical Limited,"123,308",0,0,3669505
480,GAEL,GAEL.NS,Gujarat Ambuja Exports Limited,"120,114",0,0,2259969
481,GREENLAM,GREENLAM.NS,Greenlam Industries Limited,"119,982",0,0,1753089
482,VENKEYS,VENKEYS.NS,Venky's (India) Limited,"118,996",0,0,961793
483,JSL,JSL.NS,Jindal Stainless Limited,"117,424",0,0,2876417
484,AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,"117,036",0,0,1147137
485,PSPPROJECT,PSPPROJECT.NS,PSP Projects Limited,"117,018",0,0,5344513
486,DIAMONDYD,DIAMONDYD.NS,Prataap Snacks Limited,"116,608",0,0,5591041
487,NIITLTD,NIITLTD.NS,NIIT Limited,"116,320",0,0,2949633
488,HFCL,HFCL.NS,HFCL Limited,"116,236",0,0,5619457
489,ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited,"116,079",0,0,5166593
490,SOLARA,SOLARA.NS,Solara Active Pharma Sciences Limited,"115,762",0,0,940033
491,ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Limited,"115,269",0,0,2332417
492,AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,"114,951",0,0,4565249
493,PTC,PTC.NS,PTC India Limited,"114,703",0,0,2906881
494,HGINFRA,HGINFRA.NS,H.G. Infra Engineering Limited,"113,104",0,0,428033
495,PRINCEPIPE,PRINCEPIPE.NS,Prince Pipes And Fittings Limited,"112,941",0,0,4107521
496,NCC,NCC.NS,NCC Limited,"112,621",0,1,593665
497,FACT,FACT.NS,Fertilizers and Chemicals Travancore Limited,"112,354",0,0,258049
498,TIDEWATER,TIDEWATER.NS,Tide Water Oil Company (India) Limited,"111,771",0,0,3588865
499,ITDC,ITDC.NS,India Tourism Development Corporation Limited,"111,028",0,0,4940545
500,APARINDS,APARINDS.NS,Apar Industries Limited,"110,290",0,1,2941697
501,SWARAJENG,SWARAJENG.NS,Swaraj Engines Limited,"109,805",0,0,866305
502,UNICHEMLAB,UNICHEMLAB.NS,Unichem Laboratories Limited,"109,727",0,0,916225
503,NOCIL,NOCIL.NS,NOCIL Limited,"108,963",0,0,625153
504,BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited,"108,807",0,0,89601
505,PHILIPCARB,PHILIPCARB.NS,Phillips Carbon Black Limited,"108,056",0,0,678145
506,IFBIND,IFBIND.NS,IFB Industries Limited,"107,942",0,0,380161
507,SHK,SHK.NS,S H Kelkar and Company Limited,"107,545",0,0,2870273
508,HGS,HGS.NS,Hinduja Global Solutions Limited,"105,274",0,0,3766273
509,TATACOFFEE,TATACOFFEE.NS,Tata Coffee Limited,"104,872",0,1,185345
510,BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited,"103,920",0,0,4931841
511,SUZLON,SUZLON.NS,Suzlon Energy Limited,"103,736",0,0,3077377
512,SOUTHBANK,SOUTHBANK.NS,The South Indian Bank Limited,"103,154",0,0,1522689
513,GDL,GDL.NS,Gateway Distriparks Limited,"102,965",0,0,3004161
514,MAITHANALL,MAITHANALL.NS,Maithan Alloys Limited,"102,414",0,0,6281729
515,PRAJIND,PRAJIND.NS,Praj Industries Limited,"100,700",0,0,692481
516,GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,"100,329",0,0,1332225
517,RSYSTEMS,RSYSTEMS.NS,R Systems International Limited,"100,302",0,0,3433985
518,IOLCP,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,"100,065",0,0,5225729
519,JKTYRE,JKTYRE.NS,JK Tyre & Industries Limited,"99,970",0,0,3695361
520,UFLEX,UFLEX.NS,UFLEX Limited,"99,941",0,0,269569
521,GREENPLY,GREENPLY.NS,Greenply Industries Limited,"99,390",0,0,1020673
522,TVTODAY,TVTODAY.NS,TV Today Network Limited,"99,246",0,0,2886401
523,IIFLSEC,IIFLSEC.NS,IIFL Securities Limited,"99,122",0,0,3346433
524,RAMCOIND,RAMCOIND.NS,Ramco Industries Limited,"98,969",0,0,1174273
525,MAHLIFE,MAHLIFE.NS,Mahindra Lifespace Developers Limited,"98,815",0,0,2060801
526,HERITGFOOD,HERITGFOOD.NS,Heritage Foods Limited,"98,596",0,0,1177089
527,SHARDACROP,SHARDACROP.NS,Sharda Cropchem Limited,"96,807",0,0,1277953
528,KPITTECH,KPITTECH.NS,KPIT Technologies Limited,"96,636",0,0,2478849
529,JTEKTINDIA,JTEKTINDIA.NS,Jtekt India Limited,"96,448",0,0,828673
530,AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited,"96,446",0,0,4492033
531,CARERATING,CARERATING.NS,CARE Ratings Limited,"96,441",0,0,7452929
532,POLYPLEX,POLYPLEX.NS,Polyplex Corporation Limited,"95,970",0,0,687873
533,JAMNAAUTO,JAMNAAUTO.NS,Jamna Auto Industries Limited,"94,834",0,0,5319169
534,BOMDYEING,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,"94,593",0,0,131329
535,MEGH,MEGH.NS,Meghmani Organics Limited,"94,223",0,0,3776001
536,JSLHISAR,JSLHISAR.NS,Jindal Stainless (Hisar) Limited,"93,548",0,0,3149825
537,ATFL,ATFL.NS,Agro Tech Foods Limited,"93,164",0,0,425729
538,TATAMETALI,TATAMETALI.NS,Tata Metaliks Limited,"93,158",0,0,876289
539,RUPA,RUPA.NS,Rupa & Company Limited,"91,970",0,0,6585345
540,KIRIINDUS,KIRIINDUS.NS,Kiri Industries Limited,"91,734",0,0,4259585
541,ORIENTCEM,ORIENTCEM.NS,Orient Cement Limited,"91,576",0,0,7702785
542,KOLTEPATIL,KOLTEPATIL.NS,Kolte - Patil Developers Limited,"91,130",0,0,3871745
543,INEOSSTYRO,INEOSSTYRO.NS,INEOS Styrolution India Limited,"90,962",0,1,4865
544,TATASTLLP,TATASTLLP.NS,Tata Steel Long Products Limited,"90,798",0,0,419585
545,ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited,"90,772",0,0,20225
546,TRIVENI,TRIVENI.NS,Triveni Engineering & Industries Limited,"90,252",0,0,3348737
547,GFLLIMITED,GFLLIMITED.NS,GFL Limited,"90,187",0,0,329985
548,CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,"90,166",0,1,524545
549,JAICORPLTD,JAICORPLTD.NS,Jai Corp Limited,"90,117",0,0,1316609
550,THOMASCOOK,THOMASCOOK.NS,Thomas Cook  (India)  Limited,"90,030",0,0,891137
551,NFL,NFL.NS,National Fertilizers Limited,"90,021",0,0,3564801
552,SAFARI,SAFARI.NS,Safari Industries (India) Limited,"89,767",0,0,3336961
553,SHRIPISTON,SHRIPISTON.NS,Shriram Pistons & Rings Limited,"89,265",0,0,4400641
554,RENUKA,RENUKA.NS,Shree Renuka Sugars Limited,"89,132",0,0,3078657
555,VOLTAMP,VOLTAMP.NS,Voltamp Transformers Limited,"89,036",0,0,3475713
556,PILANIINVS,PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,"88,950",0,0,2929921
557,JINDALPOLY,JINDALPOLY.NS,Jindal Poly Films Limited,"88,142",0,0,449537
558,GHCL,GHCL.NS,GHCL Limited,"87,557",0,0,288513
559,DFMFOODS,DFMFOODS.NS,DFM Foods Limited,"87,514",0,0,4933377
560,WSTCSTPAPR,WSTCSTPAPR.NS,West Coast Paper Mills Limited,"86,491",0,0,972545
561,DCAL,DCAL.NS,Dishman Carbogen Amcis Limited,"86,104",0,0,5556225
562,SOTL,SOTL.NS,Savita Oil Technologies Limited,"85,918",0,0,773377
563,HIKAL,HIKAL.NS,Hikal Limited,"85,879",0,0,2475009
564,BFINVEST,BFINVEST.NS,BF Investment Limited,"85,430",0,0,5404929
565,SUBROS,SUBROS.NS,Subros Limited,"85,263",0,0,850945
566,HONDAPOWER,HONDAPOWER.NS,Honda Siel Power Products Limited,"85,242",0,0,803329
567,PURVA,PURVA.NS,Puravankara Limited,"83,832",0,0,3820033
568,BALAMINES,BALAMINES.NS,Balaji Amines Limited,"81,521",0,0,3712257
569,LUMAXIND,LUMAXIND.NS,Lumax Industries Limited,"81,096",0,1,516609
570,WHEELS,WHEELS.NS,Wheels India Limited,"80,869",0,0,964097
571,NEOGEN,NEOGEN.NS,Neogen Chemicals Limited,"79,606",0,0,2538753
572,SANDHAR,SANDHAR.NS,Sandhar Technologies Limited,"79,452",0,0,613633
573,TINPLATE,TINPLATE.NS,The Tinplate Company of India Limited,"79,390",0,0,894209
574,WONDERLA,WONDERLA.NS,Wonderla Holidays Limited,"78,900",0,0,768513
575,HESTERBIO,HESTERBIO.NS,Hester Biosciences Limited,"78,301",0,0,1804289
576,KKCL,KKCL.NS,Kewal Kiran Clothing Limited,"77,469",0,0,3425537
577,PSB,PSB.NS,Punjab & Sind Bank,"77,116",0,0,5376257
578,PFOCUS,PFOCUS.NS,Prime Focus Limited,"76,608",0,0,3454977
579,GABRIEL,GABRIEL.NS,Gabriel India Limited,"76,562",0,0,277761
580,ASTEC,ASTEC.NS,Astec LifeSciences Limited,"75,973",0,0,4538369
581,GIPCL,GIPCL.NS,Gujarat Industries Power Company Limited,"75,474",0,0,293121
582,DISHTV,DISHTV.NS,Dish TV India Limited,"74,571",0,0,3721473
583,NEWGEN,NEWGEN.NS,Newgen Software Technologies Limited,"73,726",0,0,297985
584,PDSMFL,PDSMFL.NS,PDS Multinational Fashions Limited,"73,478",0,1,1347585
585,REPCOHOME,REPCOHOME.NS,Repco Home Finance Limited,"73,416",0,0,7577089
586,MAJESCO,MAJESCO.NS,Majesco Limited,"72,623",0,0,2639361
587,INTELLECT,INTELLECT.NS,Intellect Design Arena Limited,"71,943",0,0,1517057
588,TANLA,TANLA.NS,Tanla Solutions Limited,"70,681",0,0,3577857
589,J&KBANK,J&KBANK.NS,The Jammu & Kashmir Bank Limited,"69,329",0,1,1442049
590,SIYSIL,SIYSIL.NS,Siyaram Silk Mills Limited,"69,086",0,0,3608577
591,PAISALO,PAISALO.NS,Paisalo Digital Limited,"69,042",0,0,6519809
592,KIRLOSBROS,KIRLOSBROS.NS,Kirloskar Brothers Limited,"68,927",0,0,4756737
593,IFCI,IFCI.NS,IFCI Limited,"68,688",0,0,381697
594,SEAMECLTD,SEAMECLTD.NS,Seamec Limited,"68,660",0,1,669697
595,TVSSRICHAK,TVSSRICHAK.NS,TVS Srichakra Limited,"68,332",0,0,3646721
596,MAYURUNIQ,MAYURUNIQ.NS,Mayur Uniquoters Ltd,"67,946",0,0,7399937
597,AGCNET,AGCNET.NS,AGC Networks Limited,"67,430",0,0,2089985
598,DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,"67,097",0,0,211713
599,PANACEABIO,PANACEABIO.NS,Panacea Biotec Limited,"66,916",0,1,1038081
600,SAGCEM,SAGCEM.NS,Sagar Cements Limited,"66,827",0,0,3601409
601,SESHAPAPER,SESHAPAPER.NS,Seshasayee Paper and Boards Limited,"66,095",0,0,784897
602,INDIAGLYCO,INDIAGLYCO.NS,India Glycols Limited,"65,902",0,0,389377
603,JBMA,JBMA.NS,JBM Auto Limited,"65,887",0,0,2983681
604,HCG,HCG.NS,Healthcare Global Enterprises Limited,"65,701",0,0,3982081
605,SATIA,SATIA.NS,Satia Industries Limited,"65,200",0,0,2827521
606,TAJGVK,TAJGVK.NS,Taj GVK Hotels & Resorts Limited,"64,833",0,0,2394625
607,INSECTICID,INSECTICID.NS,Insecticides (India) Limited,"64,556",0,0,3752193
608,DAAWAT,DAAWAT.NS,LT Foods Limited,"63,809",0,0,3536897
609,EIHAHOTELS,EIHAHOTELS.NS,EIH Associated Hotels Limited,"63,541",0,0,3942145
610,MATRIMONY,MATRIMONY.NS,Matrimony.Com Limited,"63,065",0,0,5561857
611,GOCLCORP,GOCLCORP.NS,GOCL Corporation Limited,"62,957",0,0,1014529
612,SUNDARMHLD,SUNDARMHLD.NS,Sundaram Finance Holdings Limited,"62,784",0,0,558849
613,JINDWORLD,JINDWORLD.NS,Jindal Worldwide Limited,"62,161",0,0,5284353
614,DOLLAR,DOLLAR.NS,Dollar Industries Limited,"62,161",0,0,5263361
615,RTNPOWER,RTNPOWER.NS,RattanIndia Power Limited,"61,619",0,0,4485121
616,TNPL,TNPL.NS,Tamil Nadu Newsprint & Papers Limited,"61,563",0,0,1018881
617,NBVENTURES,NBVENTURES.NS,Nava Bharat Ventures Limited,"60,266",0,0,1027585
618,DPSCLTD,DPSCLTD.NS,DPSC Limited,"59,888",0,0,3947265
619,HCC,HCC.NS,Hindustan Construction Company Limited,"59,765",0,0,352001
620,SPENCERS,SPENCERS.NS,Spencer's Retail Limited,"59,054",0,0,2089729
621,WELENT,WELENT.NS,Welspun Enterprises Limited,"59,012",0,0,2976257
622,TAKE,TAKE.NS,Take Solutions Limited,"58,656",0,1,3818753
623,HIMATSEIDE,HIMATSEIDE.NS,Himatsingka Seide Limited,"58,631",0,0,348161
624,ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited,"58,429",0,1,3486721
625,INDIANHUME,INDIANHUME.NS,Indian Hume Pipe Company Limited,"58,064",0,0,391681
626,AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited,"58,038",0,0,71169
