Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
80,LTI,LTI.NS,Larsen & Toubro Infotech Limited,"2,486,562",0,0,4561409
81,BANKBARODA,BANKBARODA.NS,Bank of Baroda,"2,474,313",0,0,1195009
82,MRF,MRF.NS,MRF Limited,"2,466,837",0,0,582913
83,MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Limited,"2,457,901",0,0,6054401
84,NMDC,NMDC.NS,NMDC Limited,"2,449,480",0,0,3924993
85,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Limited,"2,436,375",1,1,1346049
86,UBL,UBL.NS,United Breweries Limited,"2,429,487",0,0,4278529
87,PFC,PFC.NS,Power Finance Corporation Limited,"2,427,555",0,0,3660545
88,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,"2,420,805",0,0,70401
89,VEDL,VEDL.NS,Vedanta Limited,"2,405,026",1,1,784129
90,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,"2,396,852",0,1,912129
91,WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Limited,"2,307,672",0,0,4610817
92,HONAUT,HONAUT.NS,Honeywell Automation India Limited,"2,289,123",0,0,874753
93,TATAMOTORS,TATAMOTORS.NS,Tata Motors Limited,"2,194,716",1,1,884737
94,PNB,PNB.NS,Punjab National Bank,"2,179,603",0,0,2730497
95,HINDALCO,HINDALCO.NS,Hindalco Industries Limited,"2,149,482",1,1,348929
96,GLAXO,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,"2,130,111",0,0,295169
97,3MINDIA,3MINDIA.NS,3M India Limited,"2,120,982",0,0,121345
98,PEL,PEL.NS,Piramal Enterprises Limited,"2,119,007",0,0,617473
99,KANSAINER,KANSAINER.NS,Kansai Nerolac Paints Limited,"2,088,044",0,0,306177
100,ADANITRANS,ADANITRANS.NS,Adani Transmission Limited,"2,079,191",0,0,2615553
101,CONCOR,CONCOR.NS,Container Corporation of India Limited,"2,020,725",0,0,1215745
102,NHPC,NHPC.NS,NHPC Limited,"2,003,984",0,0,4454401
103,IDBI,IDBI.NS,IDBI Bank Limited,"2,003,455",0,0,377857
104,BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,"2,001,669",0,1,78081
105,ABB,ABB.NS,ABB India Limited,"1,982,191",0,0,3329
106,JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Limited,"1,941,858",1,1,4632577
107,MOTHERSUMI,MOTHERSUMI.NS,Motherson Sumi Systems Limited,"1,927,919",0,0,1076225
108,PAGEIND,PAGEIND.NS,Page Industries Limited,"1,892,087",0,0,3689729
109,TATACONSUM,TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,"1,860,886",1,1,878593
110,NIACL,NIACL.NS,The New India Assurance Company Limited,"1,850,704",0,0,102145
111,GICRE,GICRE.NS,General Insurance Corporation of India,"1,845,629",0,0,70913
112,PFIZER,PFIZER.NS,Pfizer Limited,"1,840,431",0,0,676609
113,ACC,ACC.NS,ACC Limited,"1,818,720",0,0,5633
114,BEL,BEL.NS,Bharat Electronics Limited,"1,814,043",0,0,98049
115,GILLETTE,GILLETTE.NS,Gillette India Limited,"1,782,444",0,0,403457
116,IPCALAB,IPCALAB.NS,IPCA Laboratories Limited,"1,759,137",0,0,418049
117,RECLTD,RECLTD.NS,REC Limited,"1,752,740",0,0,3930881
118,HAL,HAL.NS,Hindustan Aeronautics Limited,"1,739,818",0,0,589569
119,OFSS,OFSS.NS,Oracle Financial Services Software Limited,"1,737,325",0,0,2748929
120,TRENT,TRENT.NS,Trent Limited,"1,721,804",0,0,502785
121,RAJESHEXPO,RAJESHEXPO.NS,Rajesh Exports Limited,"1,616,991",0,0,1894657
122,PIIND,PIIND.NS,PI Industries Limited,"1,615,933",0,0,6191105
123,SRF,SRF.NS,SRF Limited,"1,599,855",0,0,837889
124,COROMANDEL,COROMANDEL.NS,Coromandel International Limited,"1,598,536",0,0,189185
125,GUJGASLTD,GUJGASLTD.NS,Gujarat Gas Limited,"1,589,149",0,1,2713345
