index,Resistance,Support,Call_chng,Put_chng,diff,time,Action
VEDL.NS,170.0,160.0,104.0,-458.0,-562.0,2021-01-25 15:29:00,Sell
AUROPHARMA.NS,1000.0,980.0,-357.0,431.0,788.0,2021-01-25 15:29:00,Buy
UBL.NS,1300.0,1200.0,-52.0,-3.0,49.0,2021-01-25 15:29:00,Buy
INDUSINDBK.NS,900.0,800.0,771.0,-605.0,-1376.0,2021-01-25 15:29:00,Sell
MUTHOOTFIN.NS,1200.0,1140.0,19.0,-236.0,-255.0,2021-01-25 15:29:00,Sell
BANKBARODA.NS,75.0,72.0,3.0,-44.0,-47.0,2021-01-25 15:29:00,Sell
UPL.NS,600.0,560.0,-490.0,84.0,574.0,2021-01-25 15:29:00,Buy
TATAMOTORS.NS,290.0,270.0,702.0,-429.0,-1131.0,2021-01-25 15:29:00,Sell
LUPIN.NS,1100.0,1080.0,147.0,12.0,-135.0,2021-01-25 15:29:00,Sell
CADILAHC.NS,480.0,460.0,-18.0,-59.0,-41.0,2021-01-25 15:29:00,Sell
HAVELLS.NS,1150.0,1100.0,-410.0,-104.0,306.0,2021-01-25 15:29:00,Buy
TATASTEEL.NS,680.0,650.0,-349.0,-661.0,-312.0,2021-01-25 15:29:00,Sell
GRASIM.NS,1080.0,1040.0,-453.0,426.0,879.0,2021-01-25 15:29:00,Buy
HEROMOTOCO.NS,3500.0,3400.0,-362.0,287.0,649.0,2021-01-25 15:29:00,Buy
BIOCON.NS,390.0,380.0,199.0,-40.0,-239.0,2021-01-25 15:29:00,Sell
BANDHANBNK.NS,330.0,300.0,258.0,52.0,-206.0,2021-01-25 15:29:00,Sell
IGL.NS,550.0,530.0,-108.0,-93.0,15.0,2021-01-25 15:29:00,Buy
HINDALCO.NS,250.0,230.0,-89.0,-76.0,13.0,2021-01-25 15:29:00,Buy
TATACHEM.NS,520.0,500.0,30.0,-79.0,-109.0,2021-01-25 15:29:00,Sell
ACC.NS,1700.0,1640.0,-133.0,-55.0,78.0,2021-01-25 15:29:00,Buy
GLENMARK.NS,520.0,490.0,-72.0,-92.0,-20.0,2021-01-25 15:29:00,Sell
PVR.NS,1500.0,1450.0,6.0,-51.0,-57.0,2021-01-25 15:29:00,Sell
RBLBANK.NS,230.0,220.0,291.0,36.0,-255.0,2021-01-25 15:29:00,Sell
ESCORTS.NS,1260.0,1200.0,179.0,-58.0,-237.0,2021-01-25 15:29:00,Sell
AMARAJABAT.NS,980.0,940.0,-8.0,-12.0,-4.0,2021-01-25 15:29:00,Sell
FEDERALBNK.NS,74.0,70.0,90.0,-340.0,-430.0,2021-01-25 15:29:00,Sell
BHARATFORG.NS,630.0,600.0,-33.0,-65.0,-32.0,2021-01-25 15:29:00,Sell
EXIDEIND.NS,200.0,195.0,23.0,-9.0,-32.0,2021-01-25 15:29:00,Sell
SUNTV.NS,520.0,480.0,9.0,-101.0,-110.0,2021-01-25 15:29:00,Sell
LICHSGFIN.NS,430.0,400.0,86.0,-169.0,-255.0,2021-01-25 15:29:00,Sell
ZEEL.NS,230.0,210.0,-355.0,-96.0,259.0,2021-01-25 15:29:00,Buy
CHOLAFIN.NS,440.0,400.0,35.0,-12.0,-47.0,2021-01-25 15:29:00,Sell
ASHOKLEY.NS,125.0,115.0,192.0,-196.0,-388.0,2021-01-25 15:29:00,Sell
SRTRANSFIN.NS,1240.0,1200.0,-237.0,45.0,282.0,2021-01-25 15:29:00,Buy
ADANIENT.NS,540.0,500.0,-42.0,-74.0,-32.0,2021-01-25 15:29:00,Sell
VOLTAS.NS,960.0,930.0,20.0,43.0,23.0,2021-01-25 15:29:00,Buy
BATAINDIA.NS,1600.0,1500.0,67.0,-66.0,-133.0,2021-01-25 15:29:00,Sell
DLF.NS,280.0,260.0,62.0,-131.0,-193.0,2021-01-25 15:29:00,Sell
JUBLFOOD.NS,2800.0,2700.0,-65.0,-116.0,-51.0,2021-01-25 15:29:00,Sell
CIPLA.NS,860.0,820.0,-618.0,161.0,779.0,2021-01-25 15:29:00,Buy
MARICO.NS,420.0,400.0,119.0,-9.0,-128.0,2021-01-25 15:29:00,Sell
LT.NS,1400.0,1360.0,-217.0,139.0,356.0,2021-01-25 15:29:00,Buy
HCLTECH.NS,970.0,920.0,318.0,-280.0,-598.0,2021-01-25 15:29:00,Sell
MARUTI.NS,8300.0,8000.0,-57.0,-262.0,-205.0,2021-01-25 15:29:00,Sell
BAJFINANCE.NS,5200.0,4800.0,644.0,-740.0,-1384.0,2021-01-25 15:29:00,Sell
ASIANPAINT.NS,2560.0,2500.0,452.0,-13.0,-465.0,2021-01-25 15:29:00,Sell
SBIN.NS,290.0,280.0,575.0,-583.0,-1158.0,2021-01-25 15:29:00,Sell
ICICIBANK.NS,560.0,530.0,-863.0,359.0,1222.0,2021-01-25 15:29:00,Buy
WIPRO.NS,450.0,430.0,-89.0,-259.0,-170.0,2021-01-25 15:29:00,Sell
ITC.NS,215.0,205.0,-115.0,-663.0,-548.0,2021-01-25 15:29:00,Sell
KOTAKBANK.NS,1800.0,1760.0,2487.0,722.0,-1765.0,2021-01-25 15:29:00,Sell
INFY.NS,1360.0,1300.0,-1763.0,-2247.0,-484.0,2021-01-25 15:29:00,Sell
HDFC.NS,2600.0,2550.0,250.0,31.0,-219.0,2021-01-25 15:29:00,Sell
HDFCBANK.NS,1500.0,1440.0,-2487.0,-315.0,2172.0,2021-01-25 15:29:00,Buy
HINDUNILVR.NS,2400.0,2360.0,-164.0,-90.0,74.0,2021-01-25 15:29:00,Buy
TCS.NS,3300.0,3250.0,-334.0,77.0,411.0,2021-01-25 15:29:00,Buy
RELIANCE.NS,1950.0,1900.0,2526.0,-67.0,-2593.0,2021-01-25 15:29:00,Sell
BHARTIARTL.NS,600.0,570.0,-832.0,-814.0,18.0,2021-01-25 15:29:00,Buy
AXISBANK.NS,670.0,630.0,-819.0,345.0,1164.0,2021-01-25 15:29:00,Buy
HDFCLIFE.NS,700.0,680.0,43.0,-317.0,-360.0,2021-01-25 15:29:00,Sell
SUNPHARMA.NS,600.0,580.0,-532.0,-181.0,351.0,2021-01-25 15:29:00,Buy
EICHERMOT.NS,3000.0,2800.0,63.0,-125.0,-188.0,2021-01-25 15:29:00,Sell
SIEMENS.NS,1700.0,1660.0,-60.0,12.0,72.0,2021-01-25 15:29:00,Buy
INDIGO.NS,1600.0,1550.0,7.0,-118.0,-125.0,2021-01-25 15:29:00,Sell
HDFCAMC.NS,3000.0,2900.0,-2.0,-43.0,-41.0,2021-01-25 15:29:00,Sell
BERGEPAINT.NS,750.0,740.0,13.0,-13.0,-26.0,2021-01-25 15:29:00,Sell
ADANIPORTS.NS,530.0,510.0,32.0,-41.0,-73.0,2021-01-25 15:29:00,Sell
ICICIPRULI.NS,520.0,500.0,-103.0,-10.0,93.0,2021-01-25 15:29:00,Buy
DRREDDY.NS,5100.0,5000.0,-808.0,-392.0,416.0,2021-01-25 15:29:00,Buy
DIVISLAB.NS,3700.0,3500.0,-31.0,-257.0,-226.0,2021-01-25 15:29:00,Sell
GODREJCP.NS,800.0,780.0,-93.0,-20.0,73.0,2021-01-25 15:29:00,Buy
TECHM.NS,1000.0,950.0,-23.0,-180.0,-157.0,2021-01-25 15:29:00,Sell
BAJAJ-AUTO.NS,4200.0,4100.0,-571.0,320.0,891.0,2021-01-25 15:29:00,Buy
SBILIFE.NS,880.0,860.0,-8.0,-71.0,-63.0,2021-01-25 15:29:00,Sell
BRITANNIA.NS,3700.0,3600.0,-470.0,10.0,480.0,2021-01-25 15:29:00,Buy
BAJAJFINSV.NS,9300.0,9000.0,-324.0,41.0,365.0,2021-01-25 15:29:00,Buy
DABUR.NS,540.0,520.0,-185.0,-181.0,4.0,2021-01-25 15:29:00,Buy
TITAN.NS,1540.0,1460.0,-125.0,-133.0,-8.0,2021-01-25 15:29:00,Sell
JSWSTEEL.NS,390.0,380.0,60.0,-137.0,-197.0,2021-01-25 15:29:00,Sell
IBULHSGFIN.NS,210.0,200.0,319.0,-154.0,-473.0,2021-01-25 15:29:00,Sell
