index,Resistance,Support,Call_chng,Put_chng,diff,time,Action
HINDALCO.NS,240.0,220.0,-19.0,-229.0,-210.0,2021-01-27 15:29:00,Sell
ADANIENT.NS,520.0,500.0,-46.0,-91.0,-45.0,2021-01-27 15:29:00,Sell
BHARATFORG.NS,620.0,590.0,6.0,-63.0,-69.0,2021-01-27 15:29:00,Sell
MUTHOOTFIN.NS,1180.0,1100.0,27.0,-101.0,-128.0,2021-01-27 15:29:00,Sell
GLENMARK.NS,500.0,480.0,1.0,-161.0,-162.0,2021-01-27 15:29:00,Sell
RBLBANK.NS,230.0,210.0,-84.0,-295.0,-211.0,2021-01-27 15:29:00,Sell
SRTRANSFIN.NS,1200.0,1140.0,91.0,2.0,-89.0,2021-01-27 15:29:00,Sell
AMARAJABAT.NS,980.0,940.0,-2.0,-14.0,-12.0,2021-01-27 15:29:00,Sell
FEDERALBNK.NS,70.0,68.0,-348.0,-766.0,-418.0,2021-01-27 15:29:00,Sell
ESCORTS.NS,1300.0,1200.0,-220.0,-136.0,84.0,2021-01-27 15:29:00,Buy
EXIDEIND.NS,200.0,190.0,-65.0,-95.0,-30.0,2021-01-27 15:29:00,Sell
SUNTV.NS,500.0,460.0,-28.0,-77.0,-49.0,2021-01-27 15:29:00,Sell
LICHSGFIN.NS,420.0,370.0,-54.0,-261.0,-207.0,2021-01-27 15:29:00,Sell
ZEEL.NS,230.0,210.0,-361.0,-232.0,129.0,2021-01-27 15:29:00,Buy
CHOLAFIN.NS,430.0,400.0,-18.0,-102.0,-84.0,2021-01-27 15:29:00,Sell
ASHOKLEY.NS,115.0,110.0,11.0,-290.0,-301.0,2021-01-27 15:29:00,Sell
PVR.NS,1500.0,1450.0,-115.0,-85.0,30.0,2021-01-27 15:29:00,Buy
BANKBARODA.NS,75.0,70.0,-94.0,-90.0,4.0,2021-01-27 15:29:00,Buy
UPL.NS,600.0,560.0,-345.0,-300.0,45.0,2021-01-27 15:29:00,Buy
LUPIN.NS,1100.0,1060.0,-424.0,-202.0,222.0,2021-01-27 15:29:00,Buy
TITAN.NS,1480.0,1400.0,43.0,-279.0,-322.0,2021-01-27 15:29:00,Sell
SUNPHARMA.NS,590.0,550.0,4.0,-598.0,-602.0,2021-01-27 15:29:00,Sell
HDFCLIFE.NS,700.0,660.0,-570.0,-358.0,212.0,2021-01-27 15:29:00,Buy
AXISBANK.NS,660.0,620.0,1143.0,-716.0,-1859.0,2021-01-27 15:29:00,Sell
WIPRO.NS,460.0,440.0,-1314.0,-143.0,1171.0,2021-01-27 15:29:00,Buy
LT.NS,1400.0,1300.0,-793.0,-694.0,99.0,2021-01-27 15:29:00,Buy
HCLTECH.NS,980.0,950.0,-357.0,-512.0,-155.0,2021-01-27 15:29:00,Sell
MARUTI.NS,8000.0,7800.0,-54.0,-638.0,-584.0,2021-01-27 15:29:00,Sell
BAJFINANCE.NS,5100.0,4800.0,-492.0,-1027.0,-535.0,2021-01-27 15:29:00,Sell
ASIANPAINT.NS,2480.0,2400.0,295.0,-57.0,-352.0,2021-01-27 15:29:00,Sell
SBIN.NS,280.0,260.0,-121.0,-1847.0,-1726.0,2021-01-27 15:29:00,Sell
ICICIBANK.NS,550.0,520.0,-1165.0,-1929.0,-764.0,2021-01-27 15:29:00,Sell
ITC.NS,215.0,210.0,-824.0,-940.0,-116.0,2021-01-27 15:29:00,Sell
BHARTIARTL.NS,600.0,570.0,-841.0,-1163.0,-322.0,2021-01-27 15:29:00,Sell
KOTAKBANK.NS,1800.0,1760.0,-542.0,-1100.0,-558.0,2021-01-27 15:29:00,Sell
